151214_1046,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],groupIDs[13],groupIDs[14],groupIDs[15],groupIDs[16],groupIDs[17],groupIDs[18],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],au[13],au[14],au[15],au[16],au[17],au[18],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],Role[13],Role[14],Role[15],Role[16],Role[17],Role[18],i,g
151214_1046,1,subjects,3,1,1,0,0,0,0,0,2.86,0,0,0,0,0,0,0,1,1,1,0,-,-,-,-,-,16.86390533,-20.26515152,-,-,1,4,5,11,16,18,1,5,990,5,0.98,2.86,5,7,7,7,6,7,197,-,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,2,1,0,0,0,0,0,0.78,0,0,0,0,0,0,0,3,3,1,0,-,-,-,-,-,29.51183432,-26.89393939,-,-,2,6,7,9,10,14,1,6,997,2,0.34,0.78,6,4,6,3,2,7,196,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,3,1,0,0,0,0,0,2.86,0,0,0,0,0,0,0,2,2,1,0,-,-,-,-,-,21.89349112,-26.70454545,-,-,3,8,12,13,15,17,1,6,99999,6,1.14,2.86,6,7,7,6,6,6,197,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,4,1,0,0,0,0,0,2.78,0,0,0,0,0,0,0,1,1,2,0,-,-,-,-,-,38.23964497,-32.1969697,-,-,4,1,5,11,16,18,1,7,993,5,0.9,2.78,7,5,7,7,6,7,198,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,5,1,0,0,0,0,0,2.74,0,0,0,0,0,0,0,1,1,3,0,-,-,-,-,-,40.23668639,-20.26515152,-,-,5,1,4,11,16,18,1,7,997,5,0.9,2.74,7,5,7,7,6,7,199,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,6,1,0,0,0,0,0,0.9,0,0,0,0,0,0,0,3,3,2,0,-,-,-,-,-,1.627218935,-32.38636364,-,-,6,2,7,9,10,14,1,4,990,2,0.42,0.9,4,6,6,3,2,7,180,-,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,7,1,0,0,0,0,0,0.86,0,0,0,0,0,0,0,3,3,3,0,-,-,-,-,-,29.9556213,-31.25,-,-,7,2,6,9,10,14,1,6,995,2,0.34,0.86,6,6,4,3,2,7,190,-,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,8,1,0,0,0,0,0,2.7,0,0,0,0,0,0,0,2,2,2,0,-,-,-,-,-,38.60946746,-24.81060606,-,-,8,3,12,13,15,17,1,7,982,6,1.1,2.7,7,6,7,6,6,6,173,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,9,1,0,0,0,0,0,1.3,0,0,0,0,0,0,0,3,3,4,0,-,-,-,-,-,-14.05325444,-21.96969697,-,-,9,2,6,7,10,14,1,3,995,2,0.46,1.3,3,6,4,6,2,7,194,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,10,1,0,0,0,0,0,0.98,0,0,0,0,0,0,0,3,3,5,0,-,-,-,-,-,-27.5887574,-19.88636364,-,-,10,2,6,7,9,14,1,2,956,2,0.5,0.98,2,6,4,6,3,7,196,-,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,11,1,0,0,0,0,0,2.7,0,0,0,0,0,0,0,1,1,4,0,-,-,-,-,-,36.76035503,-26.51515152,-,-,11,1,4,5,16,18,1,7,99999,5,0.9,2.7,7,5,7,7,6,7,199,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,12,1,0,0,0,0,0,2.7,0,0,0,0,0,0,0,2,2,3,0,-,-,-,-,-,40.31065089,-32.38636364,-,-,12,3,8,13,15,17,1,7,99999,6,1.1,2.7,7,6,7,6,6,6,199,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,13,1,0,0,0,0,0,2.82,0,0,0,0,0,0,0,2,2,4,0,-,-,-,-,-,30.0295858,-32.00757576,-,-,13,3,8,12,15,17,1,6,997,6,1.14,2.82,6,6,7,7,6,6,195,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,14,1,0,0,0,0,0,0.7,0,0,0,0,0,0,0,3,3,6,0,-,-,-,-,-,35.20710059,-26.51515152,-,-,14,2,6,7,9,10,1,7,99999,2,0.3,0.7,7,6,4,6,3,2,195,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,15,1,0,0,0,0,0,2.94,0,0,0,0,0,0,0,2,2,5,0,-,-,-,-,-,26.25739645,-32.1969697,-,-,15,3,8,12,13,17,1,6,967,6,1.14,2.94,6,6,7,7,6,6,193,-,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,16,1,0,0,0,0,0,2.78,0,0,0,0,0,0,0,1,1,5,0,-,-,-,-,-,30.1035503,-28.03030303,-,-,16,1,4,5,11,18,1,6,981,5,0.94,2.78,6,5,7,7,7,7,196,-,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,17,1,0,0,0,0,0,2.74,0,0,0,0,0,0,0,2,2,6,0,-,-,-,-,-,29.8816568,-24.62121212,-,-,17,3,8,12,13,15,1,6,990,6,1.14,2.74,6,6,7,7,6,6,196,-,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,3,18,1,0,0,0,0,0,2.78,0,0,0,0,0,0,0,1,1,6,0,-,-,-,-,-,38.60946746,-20.26515152,-,-,18,1,4,5,11,16,1,7,99999,5,0.9,2.78,7,5,7,7,7,6,194,-,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
